,Building_05_DG.rdf,Building_06_DG.rdf,Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf
Building_05_DG.rdf,1.0,0.8679991876896157,0.7115285440377341,0.7316118979456843,0.7625999664762075
Building_06_DG.rdf,0.8679991876896157,1.0,0.7143120226568968,0.7003461796897579,0.7400437679969745
Freiform_Haus_DG.rdf,0.7115285440377341,0.7143120226568968,1.0,0.6579626270943704,0.6661709780475262
Option03_Revising_DG.rdf,0.7316118979456843,0.7003461796897579,0.6579626270943704,1.0,0.7863484304184798
Option04_Rev03_DG.rdf,0.7625999664762075,0.7400437679969745,0.6661709780475262,0.7863484304184798,1.0
