model,frame,wall,dual,braced
Building_05_DG.rdf,0.0033333333333333335,0.006666666666666667,0.0033333333333333335,0.0015555555555555557
Building_06_DG.rdf,0.004891304347826087,0.009782608695652175,0.004891304347826087,0.002282608695652174
Freiform_Haus_DG.rdf,0.0058441558441558435,0.009350649350649352,0.0058441558441558435,0.002727272727272728
Option03_Revising_DG.rdf,0.0007772020725388603,0.002176165803108809,0.0007772020725388603,0.00036269430051813473
Option04_Rev03_DG.rdf,0.0010135135135135136,0.002635135135135135,0.0010135135135135136,0.000472972972972973
