,Building_05_DG.rdf,Building_06_DG.rdf,Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf
Building_05_DG.rdf,1.0,1.0,0.9941494895920948,0.9891155231408317,0.9931377717799708
Building_06_DG.rdf,1.0,1.0,0.9941494895920948,0.9891155231408316,0.9931377717799708
Freiform_Haus_DG.rdf,0.9941494895920948,0.9941494895920948,1.0,0.9674369441024293,0.9746961261856343
Option03_Revising_DG.rdf,0.9891155231408317,0.9891155231408316,0.9674369441024293,1.0,0.9995361482556571
Option04_Rev03_DG.rdf,0.9931377717799708,0.9931377717799708,0.9746961261856343,0.9995361482556571,1.0000000000000002
